번호,통학수단,통학시간_분,스마트폰사용시간_분,취침시각,기상시각,수면시간_분,주간운동횟수
1,지하철,50,72,22:09,06:05,476,2
2,도보,7,134,22:42,06:18,456,2
3,버스,38,138,22:53,07:27,514,1
4,자전거,19,206,23:22,06:24,250,2
5,버스,37,242,22:58,07:12,494,0
6,자전거,13,187,23:18,07:08,470,2
7,버스,30,179,23:09,06:58,469,2
8,도보,8,263,23:13,07:29,496,
9,버스,22,207,23:01,07:07,486,2
10,버스,30,246,23:24,06:36,432,3
11,지하철,29,90,22:33,06:53,500,1
12,지하철,46,98,23:03,07:02,479,2
13,지하철,29,255,23:34,07:13,459,4
14,버스,30,147,23:05,06:44,459,3
15,지하철,54,77,22:49,06:11,442,5
16,지하철,55,238,23:35,06:08,393,0
17,지하철,44,225,23:24,07:27,483,4
18,도보,9,243,23:19,07:25,486,2
19,지하철,54,150,22:32,07:18,526,0
20,지하철,28,,22:59,06:36,457,1
21,지하철,40,161,22:51,07:03,492,0
22,버스,34,162,23:01,06:35,454,4
23,도보,11,281,23:43,06:35,412,3
24,지하철,47,234,23:47,06:48,421,5
25,도보,7,81,22:09,06:19,490,1
26,도보,8,63,22:23,07:15,532,1
27,지하철,43,61,22:00,06:53,533,2
28,버스,39,204,23:01,06:16,435,3
29,도보,13,218,23:27,07:26,479,3
30,버스,34,290,00:06,07:27,441,4
